LANP_label,ENG_label,AgeGroup,ST_label,n
Russian,Very well,Adult,Florida/FL,24749
Korean,Very well,Adult,Texas/TX,24697
Polish,Very well,Adult,New Jersey/NJ,24670
Spanish,Well,Youth,North Carolina/NC,24580
Vietnamese,Very well,Youth,Texas/TX,24459
Tagalog,Very well,Adult,Washington/WA,24432
Tamil,Very well,Adult,Texas/TX,24256
Vietnamese,Well,Senior,California/CA,24215
Spanish,Very well,Adult,District of Columbia/DC,24167
Spanish,Very well,Youth,Louisiana/LA,24102
Portuguese,Well,Adult,Florida/FL,23894
Spanish,Not well,Adult,Alabama/AL,23832
Haitian,Well,Adult,New York/NY,23780
Tagalog,Very well,Adult,Florida/FL,23771
Spanish,Well,Adult,Arkansas/AR,23746
French,Very well,Adult,Massachusetts/MA,23655
Telugu,Very well,Adult,New Jersey/NJ,23497
Chinese,Not at all,Adult,California/CA,23331
Russian,Not well,Adult,New York/NY,23195
French,Very well,Senior,Florida/FL,23171
French,Very well,Senior,Louisiana/LA,23041
Yiddish,Well,Adult,New York/NY,23017
Spanish,Not well,Adult,Arkansas/AR,22999
Spanish,Well,Adult,Alabama/AL,22867
Gujarati,Very well,Adult,Texas/TX,22786
Spanish,Not well,Adult,Louisiana/LA,22698
Albanian,Very well,Adult,New York/NY,22603
Hindi,Very well,Adult,Virginia/VA,22599
Korean,Very well,Adult,Virginia/VA,22567
Yoruba,Very well,Adult,Texas/TX,22535
Cantonese,Not at all,Senior,California/CA,22502
Hindi,Very well,Adult,Georgia/GA,22467
Japanese,Well,Adult,California/CA,22383
Chinese,Very well,Adult,Pennsylvania/PA,22375
Russian,Very well,Youth,New York/NY,22319
Portuguese,Very well,Youth,Florida/FL,22316
Korean,Well,Senior,California/CA,22252
French,Very well,Adult,Louisiana/LA,22200
Bengali,Very well,Youth,New York/NY,22131
Spanish,Well,Youth,Arizona/AZ,22010
Portuguese,Not well,Adult,Massachusetts/MA,21852
Gujarati,Very well,Adult,Illinois/IL,21795
Filipino,Very well,Senior,California/CA,21772
Tagalog,Not well,Adult,California/CA,21657
Spanish,Well,Youth,Washington/WA,21631
Spanish,Very well,Adult,Mississippi/MS,21619
Polish,Very well,Youth,Illinois/IL,21610
Portuguese,Very well,Youth,Massachusetts/MA,21391
Spanish,Well,Adult,Louisiana/LA,21384
Hindi,Very well,Adult,Massachusetts/MA,21361
Spanish,Not well,Senior,Arizona/AZ,21354
Cantonese,Not well,Senior,California/CA,21293
Spanish,Well,Adult,Nebraska/NE,21286
Arabic,Very well,Adult,Ohio/OH,21280
Spanish,Very well,Youth,Rhode Island/RI,21126
German,Very well,Senior,Florida/FL,20914
Arabic,Well,Adult,New York/NY,20896
German,Very well,Senior,California/CA,20842
Arabic,Very well,Youth,New York/NY,20815
Vietnamese,Very well,Adult,Florida/FL,20599
Spanish,Not at all,Adult,Colorado/CO,20562
Spanish,Very well,Youth,Kentucky/KY,20561
Bengali,Not well,Adult,New York/NY,20559
Malayalam,Very well,Adult,Texas/TX,20559
Vietnamese,Very well,Adult,Washington/WA,20541
Spanish,Well,Adult,Missouri/MO,20539
French,Very well,Adult,New Jersey/NJ,20467
Spanish,Not at all,Adult,New Mexico/NM,20440
Spanish,Well,Senior,Arizona/AZ,20411
French,Very well,Adult,Georgia/GA,20289
German,Very well,Adult,Ohio/OH,20095
French,Very well,Adult,Illinois/IL,20080
Spanish,Well,Adult,Rhode Island/RI,20065
Urdu,Very well,Adult,Virginia/VA,20036
Hmong,Very well,Adult,Wisconsin/WI,20022
Filipino,Well,Adult,California/CA,20012
Spanish,Very well,Senior,Pennsylvania/PA,19981
Armenian,Very well,Youth,California/CA,19945
Korean,Very well,Adult,Washington/WA,19943
Vietnamese,Not at all,Senior,California/CA,19935
Arabic,Very well,Youth,Texas/TX,19925
Hindi,Well,Adult,California/CA,19834
Russian,Very well,Youth,California/CA,19827
Russian,Very well,Adult,Illinois/IL,19791
Chinese,Well,Adult,Massachusetts/MA,19770
French,Very well,Senior,California/CA,19646
Arabic,Well,Adult,Texas/TX,19581
Tagalog,Very well,Adult,Virginia/VA,19497
French,Very well,Adult,Virginia/VA,19443
Ilocano,Very well,Adult,Hawaii/HI,19401
Somali,Very well,Adult,Minnesota/MN,19303
Vietnamese,Not at all,Adult,California/CA,19296
French,Well,Adult,New York/NY,19260
Korean,Well,Adult,New York/NY,19158
Spanish,Not at all,Senior,Arizona/AZ,19109
Akan (incl. Twi),Very well,Adult,New York/NY,19019
Portuguese,Very well,Adult,Texas/TX,18820
Spanish,Not at all,Senior,Illinois/IL,18788
Urdu,Very well,Adult,New Jersey/NJ,18742
Tagalog,Not well,Senior,California/CA,18663
French,Very well,Adult,Pennsylvania/PA,18641
Mandarin,Very well,Adult,Texas/TX,18626
Spanish,Well,Adult,Kentucky/KY,18558
Hindi,Very well,Adult,Florida/FL,18535
Chinese,Very well,Adult,Maryland/MD,18515
Spanish,Not well,Adult,Nebraska/NE,18493
Spanish,Not at all,Adult,Connecticut/CT,18466
German,Very well,Adult,Illinois/IL,18443
Tamil,Very well,Adult,New Jersey/NJ,18434
Hindi,Very well,Adult,Pennsylvania/PA,18422
Igbo,Very well,Adult,Texas/TX,18422
Spanish,Very well,Adult,Hawaii/HI,18419
Haitian,Well,Adult,Massachusetts/MA,18395
Somali,Very well,Youth,Minnesota/MN,18306
Spanish,Very well,Senior,Nevada/NV,18303
Chinese,Very well,Adult,Virginia/VA,18292
