"household_language","speak_english","age_group","state","speakers","total_speakers_of_language_in_us","percentage_speakers_in_state","state_pop_of_non_english_households","percent_state_pop_speaking_language","state_abbreviation"
"Spanish","Very well","Adult","Indiana",115912,41244779,0.281034358312358,569820,20.3418623424941,"IN"
"Spanish","Very well","Adult","Ohio",114762,41244779,0.278246126618838,822102,13.9595816577505,"OH"
"Vietnamese","Well","Adult","California",111714,1529274,7.30503493814712,16380757,0.681983134234883,"CA"
"Spanish","Very well","Youth","Colorado",111554,41244779,0.270468172468569,879388,12.6854130372486,"CO"
"Spanish","Not well","Adult","Georgia",110238,41244779,0.267277465591463,1423123,7.74620324455441,"GA"
"Spanish","Well","Adult","Georgia",110208,41244779,0.267204729112502,1423123,7.74409520470121,"GA"
"Spanish","Very well","Youth","Nevada",108878,41244779,0.263980078545214,866221,12.5693096796314,"NV"
"Spanish","Very well","Adult","Oklahoma",104196,41244779,0.252628338728642,389516,26.7501206625659,"OK"
"Spanish","Very well","Youth","Virginia",103391,41244779,0.250676576543179,1333933,7.75083906013271,"VA"
"Tagalog","Well","Adult","California",102799,1318650,7.79577598301293,16380757,0.627559519990438,"CA"
"Spanish","Very well","Adult","Wisconsin",102721,41244779,0.249052128513042,477942,21.4923568131698,"WI"
"Spanish","Not well","Adult","North Carolina",99597,41244779,0.241477836503864,1177461,8.45862410729527,"NC"
"Spanish","Well","Adult","North Carolina",98888,41244779,0.239758831051077,1177461,8.39840979871096,"NC"
"Spanish","Very well","Youth","Pennsylvania",98820,41244779,0.239593961698764,1443616,6.84531066433179,"PA"
"Chinese","Very well","Adult","New York",96673,2112607,4.57600490768042,5795855,1.66796788394465,"NY"
"Arabic","Very well","Adult","California",95377,1335142,7.14358472731739,16380757,0.582250258641893,"CA"
"Vietnamese","Not well","Adult","California",94317,1529274,6.16743631291711,16380757,0.575779251227523,"CA"
"Cantonese","Very well","Adult","California",94168,543329,17.3316719703899,16380757,0.574869647355125,"CA"
"Spanish","Not well","Youth","Texas",93837,41244779,0.22751243254328,9497841,0.987982426743088,"TX"
"Spanish","Well","Adult","Virginia",93661,41244779,0.227085711866707,1333933,7.02141711765134,"VA"
"Farsi","Very well","Adult","California",93107,418067,22.2708321871853,16380757,0.568392535216779,"CA"
"Spanish","Very well","Youth","Massachusetts",91893,41244779,0.222799108706583,1616535,5.68456606259685,"MA"
"Spanish","Not well","Senior","New York",90697,41244779,0.219899347745323,5795855,1.56485971439934,"NY"
"Spanish","Very well","Youth","Maryland",90240,41244779,0.218791328715812,1126130,8.01328443430155,"MD"
"Tagalog","Very well","Senior","California",89903,1318650,6.81780608956129,16380757,0.548832999598248,"CA"
"Spanish","Well","Adult","Pennsylvania",89902,41244779,0.217971831052847,1443616,6.2275563584776,"PA"
"Spanish","Not at all","Adult","New Jersey",89299,41244779,0.216509827825723,2786732,3.20443444148917,"NJ"
"Spanish","Very well","Adult","Tennessee",87954,41244779,0.213248809018955,480403,18.3083785904751,"TN"
"Spanish","Well","Adult","Massachusetts",84995,41244779,0.206074567644065,1616535,5.25785089713492,"MA"
"Armenian","Very well","Adult","California",82624,243078,33.9907354840833,16380757,0.504396713778246,"CA"
"Chinese","Not well","Adult","New York",82141,2112607,3.88813442348719,5795855,1.4172369736648,"NY"
"Spanish","Not well","Youth","California",81618,41244779,0.197886864662313,16380757,0.49825536145857,"CA"
"Spanish","Very well","Adult","South Carolina",80485,41244779,0.195139850306872,359029,22.4174091786457,"SC"
"Russian","Very well","Adult","New York",80351,988947,8.12490457021458,5795855,1.38635283318855,"NY"
"Spanish","Well","Adult","Nevada",79872,41244779,0.193653601586761,866221,9.22074158904021,"NV"
"Spanish","Not well","Adult","Washington",79549,41244779,0.192870472163277,1465617,5.427679946398,"WA"
"French","Very well","Adult","California",78127,1199488,6.51336236794366,16380757,0.476943770058978,"CA"
"Spanish","Well","Senior","New York",77525,41244779,0.187963184382683,5795855,1.33759384939754,"NY"
"Spanish","Well","Adult","Colorado",77320,41244779,0.187466151776447,879388,8.79247840543651,"CO"
"Spanish","Well","Youth","Florida",77307,41244779,0.187434632635563,6032018,1.28161089704971,"FL"
"Spanish","Not well","Adult","Virginia",76785,41244779,0.186169017901636,1333933,5.75628611032188,"VA"
"Spanish","Well","Adult","Washington",76456,41244779,0.185371341182359,1465617,5.21664254713203,"WA"
"Spanish","Very well","Adult","Kansas",76271,41244779,0.184922799562097,323775,23.5567909813914,"KS"
"Spanish","Very well","Youth","Oregon",75695,41244779,0.183526259166039,616044,12.2872716883859,"OR"
"Spanish","Well","Adult","Maryland",75645,41244779,0.183405031701103,1126130,6.71725289265005,"MD"
"Spanish","Very well","Adult","Minnesota",75624,41244779,0.18335411616583,639463,11.8261728981974,"MN"
"Spanish","Not well","Adult","Massachusetts",75103,41244779,0.182090925981201,1616535,4.64592477119271,"MA"
"Russian","Very well","Adult","California",74054,988947,7.48816670660814,16380757,0.452079229305459,"CA"
"Haitian","Well","Adult","Florida",73950,890380,8.30544262000494,6032018,1.22595788009916,"FL"
"Portuguese","Very well","Adult","Massachusetts",73726,855113,8.62178448930141,1616535,4.56074257594175,"MA"
"Spanish","Very well","Senior","Arizona",73503,41244779,0.178211647103261,1786775,4.11372444767808,"AZ"
"Chinese","Well","Adult","New York",73479,2112607,3.47811968813887,5795855,1.26778533969535,"NY"
"Spanish","Not well","Adult","Nevada",72752,41244779,0.176390810579928,866221,8.39878044979284,"NV"
"Spanish","Very well","Senior","New Mexico",72192,41244779,0.175033062972649,657588,10.9783025237687,"NM"
"Haitian","Very well","Adult","New York",72046,890380,8.09160133875424,5795855,1.24306077360458,"NY"
"French","Very well","Adult","New York",71935,1199488,5.99714211396863,5795855,1.24114561182086,"NY"
"Vietnamese","Very well","Adult","Texas",71003,1529274,4.64292206628766,9497841,0.747569895095106,"TX"
"Korean","Well","Adult","California",70959,1090236,6.50859080052392,16380757,0.433185108600292,"CA"
"Haitian","Very well","Youth","Florida",70265,890380,7.89157438397089,6032018,1.16486721359253,"FL"
"Spanish","Not well","Adult","Maryland",69940,41244779,0.169572977951949,1126130,6.21065063536181,"MD"
"Chinese","Not well","Adult","California",69128,2112607,3.27216562285366,16380757,0.422007359000564,"CA"
"Spanish","Not well","Adult","Pennsylvania",68440,41244779,0.16593615400388,1443616,4.74087291911422,"PA"
"Spanish","Not at all","Adult","Arizona",67767,41244779,0.164304432325847,1786775,3.79269913671279,"AZ"
"Spanish","Very well","Youth","New Mexico",67153,41244779,0.162815759056437,657588,10.2120172509231,"NM"
"Polish","Very well","Adult","Illinois",67102,526389,12.747606807893,2824136,2.37601871864528,"IL"
