"household_language","state","speakers","total_speakers_by_language","percent_speakers","total_speakers_by_state","percent_speakers_by_state"
"Haitian","New Hampshire",273,1031620,0.03,1234766,0.02
"Haitian","New Jersey",69445,1031620,6.73,8410259,0.83
"Haitian","New Mexico",438,1031620,0.04,1800441,0.02
"Haitian","New York",182722,1031620,17.71,17870301,1.02
"Haitian","North Carolina",8121,1031620,0.79,9147135,0.09
"Haitian","North Dakota",622,1031620,0.06,691239,0.09
"Haitian","Ohio",3545,1031620,0.34,10674943,0.03
"Haitian","Oklahoma",473,1031620,0.05,3496942,0.01
"Haitian","Oregon",861,1031620,0.08,3856566,0.02
"Haitian","Pennsylvania",26117,1031620,2.53,11689113,0.22
"Haitian","Rhode Island",11088,1031620,1.07,966639,1.15
"Haitian","South Carolina",2479,1031620,0.24,4451500,0.06
"Haitian","South Dakota",5,1031620,0,780990,0
"Haitian","Tennessee",2498,1031620,0.24,6096043,0.04
"Haitian","Texas",12316,1031620,1.19,25732230,0.05
"Haitian","Utah",668,1031620,0.06,2890269,0.02
"Haitian","Vermont",0,1031620,0,563783,0
"Haitian","Virginia",8846,1031620,0.86,7632032,0.12
"Haitian","Washington",2860,1031620,0.28,6985060,0.04
"Haitian","West Virginia",47,1031620,0,1562854,0
"Haitian","Wisconsin",243,1031620,0.02,5356572,0
"Haitian","Wyoming",18,1031620,0,516070,0
"Kabuverdianu","Alabama",0,35341,0,4273154,0
"Kabuverdianu","Alaska",0,35341,0,643509,0
"Kabuverdianu","Arizona",0,35341,0,6481034,0
"Kabuverdianu","Arkansas",0,35341,0,2656747,0
"Kabuverdianu","California",727,35341,2.06,34885769,0
"Kabuverdianu","Colorado",0,35341,0,5205618,0
"Kabuverdianu","Connecticut",466,35341,1.32,3243543,0.01
"Kabuverdianu","Delaware",0,35341,0,868386,0
"Kabuverdianu","District of Columbia",11,35341,0.03,586792,0
"Kabuverdianu","Florida",1399,35341,3.96,18666465,0.01
"Kabuverdianu","Georgia",439,35341,1.24,9270184,0
"Kabuverdianu","Hawaii",0,35341,0,1268826,0
"Kabuverdianu","Idaho",99,35341,0.28,1608055,0.01
"Kabuverdianu","Illinois",42,35341,0.12,11513071,0
"Kabuverdianu","Indiana",0,35341,0,6051758,0
"Kabuverdianu","Iowa",0,35341,0,2869061,0
"Kabuverdianu","Kansas",0,35341,0,2631827,0
"Kabuverdianu","Kentucky",65,35341,0.18,3999146,0
"Kabuverdianu","Louisiana",0,35341,0,3954844,0
"Kabuverdianu","Maine",32,35341,0.09,1231579,0
"Kabuverdianu","Maryland",254,35341,0.72,5533146,0
"Kabuverdianu","Massachusetts",26357,35341,74.58,6355905,0.41
"Kabuverdianu","Michigan",0,35341,0,9080289,0
"Kabuverdianu","Minnesota",0,35341,0,5150715,0
"Kabuverdianu","Mississippi",0,35341,0,2541044,0
"Kabuverdianu","Missouri",0,35341,0,5508462,0
"Kabuverdianu","Montana",0,35341,0,952635,0
"Kabuverdianu","Nebraska",0,35341,0,1776556,0
"Kabuverdianu","Nevada",0,35341,0,2744626,0
"Kabuverdianu","New Hampshire",0,35341,0,1234766,0
"Kabuverdianu","New Jersey",123,35341,0.35,8410259,0
"Kabuverdianu","New Mexico",0,35341,0,1800441,0
"Kabuverdianu","New York",293,35341,0.83,17870301,0
"Kabuverdianu","North Carolina",204,35341,0.58,9147135,0
"Kabuverdianu","North Dakota",0,35341,0,691239,0
"Kabuverdianu","Ohio",75,35341,0.21,10674943,0
"Kabuverdianu","Oklahoma",76,35341,0.22,3496942,0
"Kabuverdianu","Oregon",0,35341,0,3856566,0
"Kabuverdianu","Pennsylvania",0,35341,0,11689113,0
"Kabuverdianu","Rhode Island",4234,35341,11.98,966639,0.44
"Kabuverdianu","South Carolina",0,35341,0,4451500,0
"Kabuverdianu","South Dakota",0,35341,0,780990,0
"Kabuverdianu","Tennessee",0,35341,0,6096043,0
"Kabuverdianu","Texas",14,35341,0.04,25732230,0
"Kabuverdianu","Utah",407,35341,1.15,2890269,0.01
"Kabuverdianu","Vermont",0,35341,0,563783,0
"Kabuverdianu","Virginia",24,35341,0.07,7632032,0
"Kabuverdianu","Washington",0,35341,0,6985060,0
"Kabuverdianu","West Virginia",0,35341,0,1562854,0
"Kabuverdianu","Wisconsin",0,35341,0,5356572,0
"Kabuverdianu","Wyoming",0,35341,0,516070,0
"German","Alabama",14850,1379830,1.08,4273154,0.35
"German","Alaska",5949,1379830,0.43,643509,0.92
"German","Arizona",26354,1379830,1.91,6481034,0.41
"German","Arkansas",6997,1379830,0.51,2656747,0.26
"German","California",137422,1379830,9.96,34885769,0.39
"German","Colorado",37892,1379830,2.75,5205618,0.73
"German","Connecticut",13893,1379830,1.01,3243543,0.43
"German","Delaware",2960,1379830,0.21,868386,0.34
"German","District of Columbia",3239,1379830,0.23,586792,0.55
"German","Florida",88988,1379830,6.45,18666465,0.48
"German","Georgia",36574,1379830,2.65,9270184,0.39
"German","Hawaii",6156,1379830,0.45,1268826,0.49
"German","Idaho",7106,1379830,0.51,1608055,0.44
"German","Illinois",55613,1379830,4.03,11513071,0.48
